Report_Year,Region,Region_Rank,Country,Score
2016,Western Europe,5,Finland,7.413
2017," Southern America",1,Somalia,5.151
2017,Australia and New Zealand,1,New Zealand,7.314
2017,Australia and New Zealand,2,Australia,7.284
2017,Central and Eastern Europe,1,Czech Republic,6.609
2017,Central and Eastern Europe,2,Slovakia,6.098
2017,Central and Eastern Europe,3,Poland,5.973
2017,Central and Eastern Europe,4,Uzbekistan,5.971
2017,Central and Eastern Europe,5,Russia,5.963
2017,Eastern Asia,1,Taiwan Province of China,6.422
2017,Eastern Asia,2,Japan,5.92
2017,Eastern Asia,3,South Korea,5.838
2017,Eastern Asia,4,China,5.273
2017,Eastern Asia,5,Mongolia,4.955
2017,Latin America and Caribbean,1,Costa Rica,7.079
2017,Latin America and Caribbean,2,Chile,6.652
2017,Latin America and Caribbean,3,Brazil,6.635
2017,Latin America and Caribbean,4,Argentina,6.599
2017,Latin America and Caribbean,5,Mexico,6.578
2017,Middle East and Northern Africa,1,Israel,7.213
2017,Middle East and Northern Africa,2,United Arab Emirates,6.648
2017,Middle East and Northern Africa,3,Qatar,6.375
2017,Middle East and Northern Africa,4,Saudi Arabia,6.344
2017,Middle East and Northern Africa,5,Kuwait,6.105
2017,North America,1,Canada,7.316
2017,North America,2,United States,6.993
2017,Northern America,1,Belize,5.956
2017,Northern America,2,South Sudan,3.591
2017,Southeastern Asia,1,Singapore,6.572
2017,Southeastern Asia,2,Thailand,6.424
2017,Southeastern Asia,3,Malaysia,6.084
2017,Southeastern Asia,4,Philippines,5.43
2017,Southeastern Asia,5,Indonesia,5.262
2017,Southern America,1,Namibia,4.574
2017,Southern Asia,1,Pakistan,5.269
2017,Southern Asia,2,Bhutan,5.011
2017,Southern Asia,3,Nepal,4.962
2017,Southern Asia,4,Bangladesh,4.608
2017,Southern Asia,5,Sri Lanka,4.44
2017,Sub-Saharan Africa,1,Mauritius,5.629
2017,Sub-Saharan Africa,2,Nigeria,5.074
2017,Sub-Saharan Africa,3,South Africa,4.829
2017,Sub-Saharan Africa,4,Sierra Leone,4.709
2017,Sub-Saharan Africa,5,Cameroon,4.695
2017,Western Europe,1,Norway,7.537
2017,Western Europe,2,Denmark,7.522
2017,Western Europe,3,Iceland,7.504
2017,Western Europe,4,Switzerland,7.494
2017,Western Europe,5,Finland,7.469
2018," Southern America",1,Somalia,4.982
2018,Australia and New Zealand,1,New Zealand,7.324
2018,Australia and New Zealand,2,Australia,7.272
2018,Central and Eastern Europe,1,Czech Republic,6.711
2018,Central and Eastern Europe,2,Slovakia,6.173
2018,Central and Eastern Europe,3,Poland,6.123
2018,Central and Eastern Europe,4,Uzbekistan,6.096
2018,Central and Eastern Europe,5,Lithuania,5.952
2018,Eastern Asia,1,Taiwan,6.441
2018,Eastern Asia,2,Japan,5.915
2018,Eastern Asia,3,South Korea,5.875
2018,Eastern Asia,4,Hong Kong,5.43
2018,Eastern Asia,5,China,5.246
2018,Latin America and Caribbean,1,Costa Rica,7.072
2018,Latin America and Caribbean,2,Mexico,6.488
2018,Latin America and Caribbean,3,Chile,6.476
2018,Latin America and Caribbean,4,Panama,6.43
2018,Latin America and Caribbean,5,Brazil,6.419
2018,Middle East and Northern Africa,1,Israel,6.814
2018,Middle East and Northern Africa,2,Qatar,6.374
2018,Middle East and Northern Africa,3,Saudi Arabia,6.371
2018,Middle East and Northern Africa,4,Bahrain,6.105
2018,Middle East and Northern Africa,5,Kuwait,6.083
2018,North America,1,Canada,7.328
2018,North America,2,United States,6.886
2018,Northern America,1,Belize,5.956
2018,Northern America,2,South Sudan,3.254
2018,Southeastern Asia,1,Singapore,6.343
2018,Southeastern Asia,2,Malaysia,6.322
2018,Southeastern Asia,3,Thailand,6.072
2018,Southeastern Asia,4,Philippines,5.524
2018,Southeastern Asia,5,Vietnam,5.103
2018,Southern America,1,Trinidad & Tobago,6.192
2018,Southern America,2,Namibia,4.441
2018,Southern Asia,1,Pakistan,5.472
2018,Southern Asia,2,Bhutan,5.082
2018,Southern Asia,3,Nepal,4.88
2018,Southern Asia,4,Bangladesh,4.5
2018,Southern Asia,5,Sri Lanka,4.471
2018,Sub-Saharan Africa,1,Mauritius,5.891
2018,Sub-Saharan Africa,2,Nigeria,5.155
2018,Sub-Saharan Africa,3,Cameroon,4.975
2018,Sub-Saharan Africa,4,Gabon,4.758
2018,Sub-Saharan Africa,5,South Africa,4.724
2018,Western Asia,1,Northern Cyprus,5.835
2018,Western Europe,1,Finland,7.632
2018,Western Europe,2,Norway,7.594
2018,Western Europe,3,Denmark,7.555
2018,Western Europe,4,Iceland,7.495
2018,Western Europe,5,Switzerland,7.487
2019," Southern America",1,Somalia,4.668
2019,Australia and New Zealand,1,New Zealand,7.307
2019,Australia and New Zealand,2,Australia,7.228
2019,Central and Eastern Europe,1,Czech Republic,6.852
2019,Central and Eastern Europe,2,Slovakia,6.198
2019,Central and Eastern Europe,3,Poland,6.182
2019,Central and Eastern Europe,4,Uzbekistan,6.174
2019,Central and Eastern Europe,5,Lithuania,6.149
2019,Eastern Asia,1,Taiwan,6.446
2019,Eastern Asia,2,South Korea,5.895
2019,Eastern Asia,3,Japan,5.886
2019,Eastern Asia,4,Hong Kong,5.43
2019,Eastern Asia,5,Mongolia,5.285
2019,Latin America and Caribbean,1,Costa Rica,7.167
2019,Latin America and Caribbean,2,Mexico,6.595
2019,Latin America and Caribbean,3,Chile,6.444
2019,Latin America and Caribbean,4,Guatemala,6.436
2019,Latin America and Caribbean,5,Panama,6.321
2019,Middle East and Northern Africa,1,Israel,7.139
2019,Middle East and Northern Africa,2,United Arab Emirates,6.825
2019,Middle East and Northern Africa,3,Saudi Arabia,6.375
2019,Middle East and Northern Africa,4,Qatar,6.374
2019,Middle East and Northern Africa,5,Bahrain,6.199
2019,North America,1,Canada,7.278
2019,North America,2,United States,6.892
2019,Northern America,1,South Sudan,2.853
2019,Southeast Europe,1,North Macedonia,5.274
2019,Southeastern Asia,1,Singapore,6.262
2019,Southeastern Asia,2,Thailand,6.008
2019,Southeastern Asia,3,Philippines,5.631
2019,Southeastern Asia,4,Malaysia,5.339
2019,Southeastern Asia,5,Indonesia,5.192
2019,Southern America,1,Trinidad & Tobago,6.192
2019,Southern America,2,Namibia,4.639
2019,Southern Asia,1,Pakistan,5.653
2019,Southern Asia,2,Bhutan,5.082
2019,Southern Asia,3,Nepal,4.913
2019,Southern Asia,4,Bangladesh,4.456
2019,Southern Asia,5,Sri Lanka,4.366
2019,Sub-Saharan Africa,1,Mauritius,5.888
2019,Sub-Saharan Africa,2,Nigeria,5.265
2019,Sub-Saharan Africa,3,Cameroon,5.044
2019,Sub-Saharan Africa,4,Ghana,4.996
2019,Sub-Saharan Africa,5,Ivory Coast,4.944
2019,Western Africa,1,Gambia,4.516
2019,Western Asia,1,Northern Cyprus,5.718
2019,Western Europe,1,Finland,7.769
2019,Western Europe,2,Denmark,7.6
2019,Western Europe,3,Norway,7.554
2019,Western Europe,4,Iceland,7.494
2019,Western Europe,5,Netherlands,7.488
2020,Central and Eastern Europe,1,Czech Republic,6.911
2020,Central and Eastern Europe,2,Slovenia,6.363
2020,Central and Eastern Europe,3,Kosovo,6.325
2020,Central and Eastern Europe,4,Slovakia,6.281
2020,Central and Eastern Europe,5,Lithuania,6.215
2020,Commonwealth of Independent States,1,Uzbekistan,6.258
2020,Commonwealth of Independent States,2,Kazakhstan,6.058
2020,Commonwealth of Independent States,3,Moldova,5.608
2020,Commonwealth of Independent States,4,Tajikistan,5.556
2020,Commonwealth of Independent States,5,Russia,5.546
2020,East Asia,1,Taiwan Province of China,6.455
2020,East Asia,2,South Korea,5.872
2020,East Asia,3,Japan,5.871
2020,East Asia,4,Hong Kong S.A.R. of China,5.51
2020,East Asia,5,Mongolia,5.456
2020,Latin America and Caribbean,1,Costa Rica,7.121
2020,Latin America and Caribbean,2,Mexico,6.465
2020,Latin America and Caribbean,3,Uruguay,6.44
2020,Latin America and Caribbean,4,Guatemala,6.399
2020,Latin America and Caribbean,5,Brazil,6.376
2020,Middle East and North Africa,1,Israel,7.129
2020,Middle East and North Africa,2,United Arab Emirates,6.791
2020,Middle East and North Africa,3,Saudi Arabia,6.406
2020,Middle East and North Africa,4,Bahrain,6.227
2020,Middle East and North Africa,5,Kuwait,6.102
2020,North America and ANZ,1,New Zealand,7.3
2020,North America and ANZ,2,Canada,7.232
2020,North America and ANZ,3,Australia,7.223
2020,North America and ANZ,4,United States,6.94
2020,South Asia,1,Pakistan,5.693
2020,South Asia,2,Maldives,5.198
2020,South Asia,3,Nepal,5.137
2020,South Asia,4,Bangladesh,4.833
2020,South Asia,5,Sri Lanka,4.327
2020,Southeast Asia,1,Singapore,6.377
2020,Southeast Asia,2,Philippines,6.006
2020,Southeast Asia,3,Thailand,5.999
2020,Southeast Asia,4,Malaysia,5.384
2020,Southeast Asia,5,Vietnam,5.353
2020,Sub-Saharan Africa,1,Mauritius,6.101
2020,Sub-Saharan Africa,2,Ivory Coast,5.233
2020,Sub-Saharan Africa,3,Benin,5.216
2020,Sub-Saharan Africa,4,Congo (Brazzaville),5.194
2020,Sub-Saharan Africa,5,Ghana,5.148
2020,Western Europe,1,Finland,7.809
2020,Western Europe,2,Denmark,7.646
2020,Western Europe,3,Switzerland,7.56
2020,Western Europe,4,Iceland,7.504
2020,Western Europe,5,Norway,7.488
2021,Central and Eastern Europe,1,Czech Republic,6.965
2021,Central and Eastern Europe,2,Slovenia,6.461
2021,Central and Eastern Europe,3,Kosovo,6.372
2021,Central and Eastern Europe,4,Slovakia,6.331
2021,Central and Eastern Europe,5,Lithuania,6.255
2021,Commonwealth of Independent States,1,Uzbekistan,6.179
2021,Commonwealth of Independent States,2,Kazakhstan,6.152
2021,Commonwealth of Independent States,3,Moldova,5.766
2021,Commonwealth of Independent States,4,Kyrgyzstan,5.744
2021,Commonwealth of Independent States,5,Belarus,5.534
2021,East Asia,1,Taiwan Province of China,6.584
2021,East Asia,2,Japan,5.94
2021,East Asia,3,South Korea,5.845
2021,East Asia,4,Mongolia,5.677
2021,East Asia,5,Hong Kong S.A.R. of China,5.477
2021,Latin America and Caribbean,1,Costa Rica,7.069
2021,Latin America and Caribbean,2,Guatemala,6.435
2021,Latin America and Caribbean,3,Uruguay,6.431
2021,Latin America and Caribbean,4,Brazil,6.33
2021,Latin America and Caribbean,5,Mexico,6.317
2021,Middle East and North Africa,1,Israel,7.157
2021,Middle East and North Africa,2,Bahrain,6.647
2021,Middle East and North Africa,3,United Arab Emirates,6.561
2021,Middle East and North Africa,4,Saudi Arabia,6.494
2021,Middle East and North Africa,5,Kuwait,6.106
2021,North America and ANZ,1,New Zealand,7.277
2021,North America and ANZ,2,Australia,7.183
2021,North America and ANZ,3,Canada,7.103
2021,North America and ANZ,4,United States,6.951
2021,South Asia,1,Nepal,5.269
2021,South Asia,2,Maldives,5.198
2021,South Asia,3,Bangladesh,5.025
2021,South Asia,4,Pakistan,4.934
2021,South Asia,5,Sri Lanka,4.325
2021,Southeast Asia,1,Singapore,6.377
2021,Southeast Asia,2,Thailand,5.985
2021,Southeast Asia,3,Philippines,5.88
2021,Southeast Asia,4,Vietnam,5.411
2021,Southeast Asia,5,Malaysia,5.384
2021,Sub-Saharan Africa,1,Mauritius,6.049
2021,Sub-Saharan Africa,2,Congo (Brazzaville),5.342
2021,Sub-Saharan Africa,3,Ivory Coast,5.306
2021,Sub-Saharan Africa,4,Cameroon,5.142
2021,Sub-Saharan Africa,5,Senegal,5.132
2021,Western Europe,1,Finland,7.842
2021,Western Europe,2,Denmark,7.62
2021,Western Europe,3,Switzerland,7.571
2021,Western Europe,4,Iceland,7.554
2021,Western Europe,5,Netherlands,7.464
